"","DisplayName","Location","Difference","Number_of_Tags"
"1","Gordon Gustafson","Los Angeles, CA, United States",1015,65
"2","Thunderforge","",1327,58
"3","user1873","Earth",1395,55
"4","tttppp","",2228,31
"5","ire_and_curses","",1844,27
"6","Zags","",1564,26
"7","Pat Ludwig","Cedar Park, TX, United States",2891,25
"8","mafu","",1347,23
"9","Gregor Thomas","Traverse City, MI, United States",1777,20
"10","aslum","Blacksburg, VA",1222,16
"11","Johno","Reading, United Kingdom",1312,15
"12","doppelgreener","",4986,13
"13","Alex P","Ashburn, VA",2582,11
"14","SocioMatt","Michigan, USA",2035,11
"15","Toon Krijthe","'s-Gravenzande, Nederland",1589,10
