"","Date","Points","Group"
"1","2021-02",12106.2604295487,"Chess"
"2","2021-01",13180.1468224586,"Chess"
"3","2020-12",15896.7092202534,"Chess"
"4","2020-11",15950.1351226259,"Chess"
"5","2020-10",12152.6951047405,"Chess"
"6","2020-09",15067.4024993668,"Chess"
"7","2020-08",18532.6056584197,"Chess"
"8","2020-07",14027.6064367414,"Chess"
"9","2020-06",17083.6567832301,"Chess"
"10","2020-05",17295.5552139037,"Chess"
"11","2020-04",13168.2735039896,"Chess"
"12","2020-03",24044.3662240537,"Chess"
"13","2021-02",19840.6805268261,"Arqade"
"14","2021-01",21841.8429577827,"Arqade"
"15","2020-12",136166.669249741,"Arqade"
"16","2020-11",55811.5995734657,"Arqade"
"17","2020-10",120203.416953019,"Arqade"
"18","2020-09",49934.9130473448,"Arqade"
"19","2020-08",53556.4253607504,"Arqade"
"20","2020-07",104804.923084291,"Arqade"
"21","2020-06",110465.197087344,"Arqade"
"22","2020-05",103976.864724254,"Arqade"
"23","2020-04",246032.29477708,"Arqade"
"24","2020-03",237043.619321794,"Arqade"
"25","2021-02",5317.50499577051,"Board & Card Games"
"26","2021-01",9431.83946053946,"Board & Card Games"
"27","2020-12",8037.17658730159,"Board & Card Games"
"28","2020-11",7334.56437728938,"Board & Card Games"
"29","2020-10",7109.45520361991,"Board & Card Games"
"30","2020-09",7723.84230769231,"Board & Card Games"
"31","2020-08",6966.02083325172,"Board & Card Games"
"32","2020-07",10907.4810903149,"Board & Card Games"
"33","2020-06",12129.9396443426,"Board & Card Games"
"34","2020-05",19597.2337301587,"Board & Card Games"
"35","2020-04",37258.4923687424,"Board & Card Games"
"36","2020-03",12089.9029728725,"Board & Card Games"
